linguagem,tipo_api,carga,usuarios,spawn_rate,Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
kotlin,graphql,medio,200,30,POST,todosUsuarios,1493,0,5,7.829178008034636,1.8815030000496336,83.43358699994496,91.0,25.230566749629453,0.0,5,8,9,10,14,19,39,49,78,83,83
kotlin,graphql,medio,200,30,,Aggregated,5701,0,5,7.766030052620411,1.8154020001475144,115.4100290000315,91.0,96.34257269902044,0.0,5,8,9,10,13,19,40,49,86,120,120
java,rest,medio,200,30,POST,playlist-musica,1408,0,4,8.420338065339696,1.9920130000627976,150.84869099996467,1381.0,23.788091343776085,0.0,4,6,7,9,16,35,59,74,130,150,150
java,rest,medio,200,30,POST,playlist-usuario,1444,0,3,7.725372396813474,1.7579060000798563,169.67932700003985,279.0,24.39630958836127,0.0,3,5,6,7,15,30,60,78,110,170,170
java,rest,medio,200,30,GET,todas-musicas,1424,0,6,12.411803879915194,3.011681999964821,202.4676089999957,54674.0,24.05841056359172,0.0,6,9,12,15,26,44,71,89,140,200,200
java,rest,medio,200,30,GET,todos-usuarios,1388,0,53,70.964864157782,27.585688000044684,279.1061729999456,344303.0,23.450192319006536,0.0,53,68,86,100,130,170,220,250,280,280,280
java,rest,medio,200,30,,Aggregated,5664,0,6,24.573607682379546,1.7579060000798563,279.1061729999456,98533.83898305084,95.6930038147356,0.0,6,16,35,43,67,100,140,170,270,280,280
kotlin,soap,medio,200,30,POST,SOAP_getPlaylistsByMusica,380,0,92,3857.510307413161,3.2047909999164403,21022.41449100006,660.0,6.3077154479078255,0.0,110,4100,5900,6700,15000,18000,20000,20000,21000,21000,21000
kotlin,soap,medio,200,30,POST,SOAP_getPlaylistsByUsuario,357,0,82,4237.7818231036445,3.04373700009819,21086.297017000103,361.0,5.925932670797615,0.0,82,3700,6300,9200,15000,18000,20000,20000,21000,21000,21000
kotlin,soap,medio,200,30,POST,SOAP_getTodasMusicas,293,0,150,5062.3508197474375,10.250162000147611,23991.651042000056,114042.0,4.863580595360507,0.0,150,5800,9900,15000,16000,20000,21000,21000,24000,24000,24000
kotlin,soap,medio,200,30,POST,SOAP_getTodosUsuarios,349,0,230,5527.035470853866,10.520463999910136,23577.422781999987,104144.0,5.793138661367976,0.0,230,6100,15000,15000,16000,20000,21000,23000,24000,24000,24000
kotlin,soap,medio,200,30,,Aggregated,1379,0,160,4634.478750673672,3.04373700009819,23991.651042000056,50863.1174764322,22.890367375433925,0.0,160,5500,7400,12000,15000,19000,20000,21000,24000,24000,24000
kotlin,rest,medio,200,30,POST,playlist-musica,1453,0,4,9.002150818309818,1.9421150000198395,165.10537799990743,1378.0,24.55017531676735,0.0,4,6,8,10,18,33,58,80,160,170,170
kotlin,rest,medio,200,30,POST,playlist-usuario,1406,0,4,8.854239255332237,1.7895319999752246,161.1140569998497,279.0,23.756054022969646,0.0,4,6,8,9,16,33,62,81,150,160,160
kotlin,rest,medio,200,30,GET,todas-musicas,1428,0,7,13.348596207281526,3.0131849998724647,174.09946200018567,54732.0,24.12777037325793,0.0,7,10,14,16,27,49,75,88,160,170,170
kotlin,rest,medio,200,30,GET,todos-usuarios,1397,0,54,69.033796282752,25.532505999990462,294.84865699987495,344565.0,23.60398824330625,0.0,54,69,86,98,130,150,190,220,290,290,290
kotlin,rest,medio,200,30,,Aggregated,5684,0,7,24.811962407284348,1.7895319999752246,294.84865699987495,98858.04169598874,96.0379879563012,0.0,7,18,35,44,68,100,140,160,250,290,290
